Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
176692,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2013,12/01/2012,18.6,
549806,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,01/01/2017,17.7,
175369,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2010-11,12/01/2010,25.7,
175915,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2009,06/01/2009,16.1,
549872,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2017,01/01/2017,12.7,
741006,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2021,01/01/2021,11.4,
175916,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Summer 2009,06/01/2009,8.6,
336603,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2014-15,12/01/2014,20.7,
175354,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2010-11,12/01/2010,33.7,
176698,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2013,12/01/2012,26.5,
175364,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Winter 2010-11,12/01/2010,26.2,
175896,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,06/01/2009,23.1,
549854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Annual Average 2017,01/01/2017,16.6,
740946,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,01/01/2021,19.0,
549824,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2017,01/01/2017,23.4,
176656,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2012,12/01/2011,27.1,
549803,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2017,01/01/2017,15.6,
549833,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2017,01/01/2017,30.3,
176712,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2013,12/01/2012,19.0,
175904,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2009,06/01/2009,31.6,
336567,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2014-15,12/01/2014,30.2,
549836,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Annual Average 2017,01/01/2017,25.6,
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2009,06/01/2009,18.6,
825997,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2022,06/01/2022,10.5,
412501,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,30.1,
176040,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2012,06/01/2012,16.2,
740969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2021,06/01/2021,17.9,
825722,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2021-22,12/01/2021,24.7,
549782,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2017,01/01/2017,21.2,
549815,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2017,01/01/2017,20.6,
175361,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,401.0,Long Island City - Astoria,Winter 2010-11,12/01/2010,31.5,
825775,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Summer 2022,06/01/2022,14.1,
825742,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Summer 2022,06/01/2022,13.5,
825776,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2021-22,12/01/2021,23.7,
412483,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2016,12/31/2015,19.9,
825743,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Winter 2021-22,12/01/2021,21.2,
176684,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2013,12/01/2012,22.9,
175340,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2010-11,12/01/2010,32.2,
336513,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2014-15,12/01/2014,26.8,
825766,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Summer 2022,06/01/2022,10.9,
412492,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2016,12/31/2015,23.2,
602765,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2018,01/01/2018,22.2,
740957,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Summer 2021,06/01/2021,15.7,
412438,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2016,12/31/2015,17.9,
602753,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2018,01/01/2018,21.0,
825734,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2021-22,12/01/2021,22.1,
825788,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Winter 2021-22,12/01/2021,21.8,
176081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2013,06/01/2013,16.6,
602804,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Annual Average 2018,01/01/2018,17.2,
549749,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,2.0,Brooklyn,Annual Average 2017,01/01/2017,18.5,
175892,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Summer 2009,06/01/2009,21.4,
412469,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Winter 2015-16,12/01/2015,20.9,
175956,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2010,06/01/2010,17.9,
412533,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2016,06/01/2016,13.1,
740965,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Winter 2020-21,12/01/2020,27.0,
740935,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Winter 2020-21,12/01/2020,21.2,
175934,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,207.0,East Flatbush - Flatbush,Summer 2010,06/01/2010,19.0,
740966,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2021,06/01/2021,20.2,
176544,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2009,12/01/2008,22.3,
667682,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304.0,Bushwick (CD4),Winter 2019-20,12/01/2019,27.7,
166020,375,Nitrogen dioxide (NO2),Mean,ppb,CD,404.0,Elmhurst and Corona (CD4),Winter 2012-13,12/01/2012,26.7,
336803,375,Nitrogen dioxide (NO2),Mean,ppb,CD,304.0,Bushwick (CD4),Summer 2015,06/01/2015,15.5,
336606,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,501.0,Port Richmond,Winter 2014-15,12/01/2014,22.7,
412481,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Winter 2015-16,12/01/2015,23.4,
175970,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Summer 2011,06/01/2011,21.3,
412450,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2016,12/31/2015,21.4,
166028,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412.0,Jamaica and Hollis (CD12),Winter 2012-13,12/01/2012,23.1,
167621,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412.0,Jamaica and Hollis (CD12),Annual Average 2010,12/01/2009,21.3,
643709,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412.0,Jamaica and Hollis (CD12),Summer 2019,06/01/2019,13.3,
667838,375,Nitrogen dioxide (NO2),Mean,ppb,CD,412.0,Jamaica and Hollis (CD12),Winter 2019-20,12/01/2019,22.3,
165998,375,Nitrogen dioxide (NO2),Mean,ppb,CD,212.0,Williamsbridge and Baychester (CD12),Winter 2012-13,12/01/2012,22.0,
167589,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2010,12/01/2009,19.8,
165996,375,Nitrogen dioxide (NO2),Mean,ppb,CD,210.0,Throgs Neck and Co-op City (CD10),Winter 2012-13,12/01/2012,21.0,
176713,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2013,12/01/2012,16.8,
336600,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2014-15,12/01/2014,22.7,
549869,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2017,01/01/2017,16.4,
741003,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2021,01/01/2021,14.3,
176651,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2012,12/01/2011,17.2,
176671,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2012,12/01/2011,17.3,
825994,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2022,06/01/2022,9.8,
602717,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106.0,High Bridge - Morrisania,Annual Average 2018,01/01/2018,20.8,
740909,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,106.0,High Bridge - Morrisania,Summer 2021,06/01/2021,14.2,
176062,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2013,06/01/2013,14.0,
602813,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2018,01/01/2018,10.5,
741005,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Summer 2021,06/01/2021,4.9,
825995,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2021-22,12/01/2021,18.6,
412537,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2016,12/31/2015,16.2,
602810,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Annual Average 2018,01/01/2018,16.2,
741002,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2021,06/01/2021,9.9,
